Title,Speaker,Date Posted,Link
"""A Bird Made of Birds""",Sarah Kay,Jun 2019,https://www.ted.com/talks/sarah_kay_a_bird_made_of_birds
"""A Ride With Polly Jean"" / ""Ali Farka Touche""",Jenny Scheinman with Nels Cline and Todd Sickafoose,Jan 2022,https://www.ted.com/talks/jenny_scheinman_with_nels_cline_and_todd_sickafoose_a_ride_with_polly_jean_ali_farka_touche
"""A seat at the table"" isn't the solution for gender equity",Lilly Singh,Mar 2022,https://www.ted.com/talks/lilly_singh_a_seat_at_the_table_isn_t_the_solution_for_gender_equity
"""AI therapy""",Mother London,Apr 2018,https://www.ted.com/talks/mother_london_ai_therapy
"""Accents""",Denice Frohman,May 2019,https://www.ted.com/talks/denice_frohman_accents
"""Accept Who I Am""",Butterscotch,Apr 2020,https://www.ted.com/talks/butterscotch_accept_who_i_am
"""Afterneath"" / ""Killing Me""",Luke Sital-Singh,Sep 2018,https://www.ted.com/talks/luke_sital_singh_afterneath_killing_me
"""Aliens built the pyramids"" and other absurdities of pseudo-archaeology",Sarah Kurnick,Feb 2021,https://www.ted.com/talks/sarah_kurnick_aliens_built_the_pyramids_and_other_absurdities_of_pseudo_archaeology
"""All Together Now""",OK Go,Jun 2020,https://www.ted.com/talks/ok_go_all_together_now
"""All the World's a Stage""",William Shakespeare,Jun 2019,https://www.ted.com/talks/william_shakespeare_all_the_world_s_a_stage
"""Astral Plane""",Valerie June,Dec 2021,https://www.ted.com/talks/valerie_june_astral_plane
"""Autopilote"" / ""Pumper""",Mai Lan,Jan 2019,https://www.ted.com/talks/mai_lan_autopilote_pumper
"""Awoo""",Sofi Tukker,Jun 2017,https://www.ted.com/talks/sofi_tukker_awoo
"""Back on My Feet""",Kimberose,Nov 2021,https://www.ted.com/talks/kimberose_back_on_my_feet
"""Beautifully Out of Place""",Sierra Hull,Jun 2020,https://www.ted.com/talks/sierra_hull_beautifully_out_of_place
"""Being Human""",Naima Penniman,Nov 2021,https://www.ted.com/talks/naima_penniman_being_human
"""Being Human"" / ""Awakening""",Climbing PoeTree,Jun 2019,https://www.ted.com/talks/climbing_poetree_being_human_awakening
