Name,Course,Sector,Links
"""A Bird Made of Birds""",Melissa Marquez,Jun 2019,https://www.ted.com/talks/sarah_kay_a_bird_made_of_birds
"""A Ride With Polly Jean"" / ""Ali Farka Touche""",Rachel Kyte,Jan 2022,https://www.ted.com/talks/jenny_scheinman_with_nels_cline_and_todd_sickafoose_a_ride_with_polly_jean_ali_farka_touche
"""A seat at the table"" isn't the solution for gender equity",Why rivals are working together to transform shipping,Mar 2022,https://www.ted.com/talks/lilly_singh_a_seat_at_the_table_isn_t_the_solution_for_gender_equity
"""AI therapy""",Greg Gage,Apr 2018,https://www.ted.com/talks/mother_london_ai_therapy
"""Accents""",Reniqua Allen,May 2019,https://www.ted.com/talks/denice_frohman_accents
"""Accept Who I Am""",Skylar Tibbits,Apr 2020,https://www.ted.com/talks/butterscotch_accept_who_i_am
"""Afterneath"" / ""Killing Me""",Finn Lützow-Holm Myrstad,Sep 2018,https://www.ted.com/talks/luke_sital_singh_afterneath_killing_me
"""Aliens built the pyramids"" and other absurdities of pseudo-archaeology",Emily Leproust,Feb 2021,https://www.ted.com/talks/sarah_kurnick_aliens_built_the_pyramids_and_other_absurdities_of_pseudo_archaeology
"""All Together Now""",Cameron Morin,Jun 2020,https://www.ted.com/talks/ok_go_all_together_now
"""All the World's a Stage""",Barbara J. King,Jun 2019,https://www.ted.com/talks/william_shakespeare_all_the_world_s_a_stage
"""Astral Plane""",Doug MacKay,Dec 2021,https://www.ted.com/talks/valerie_june_astral_plane
"""Autopilote"" / ""Pumper""",Daniel Finkel,Jan 2019,https://www.ted.com/talks/mai_lan_autopilote_pumper
"""Awoo""",Nabila Alibhai,Jun 2017,https://www.ted.com/talks/sofi_tukker_awoo
"""Back on My Feet""",James Rhee,Nov 2021,https://www.ted.com/talks/kimberose_back_on_my_feet
"""Beautifully Out of Place""",Jennifer L. Eberhardt,Jun 2020,https://www.ted.com/talks/sierra_hull_beautifully_out_of_place
"""Being Human""",Why rivals are working together to transform shipping,Nov 2021,https://www.ted.com/talks/naima_penniman_being_human
"""Being Human"" / ""Awakening""",Soraya Field Fiorio,Jun 2019,https://www.ted.com/talks/climbing_poetree_being_human_awakening
"""Bright Future Ahead""",Vincent Yeow Lim,Feb 2023,https://www.ted.com/talks/kera_bright_future_ahead
"""Butterfly Effect"" and ""Bel Arabi""",Sascha Morrell,May 2023,https://www.ted.com/talks/alaa_wardi_featuring_aisha_zainal_butterfly_effect_and_bel_arabi
"""Chasms""",Elizabeth Cox,Sep 2018,https://www.ted.com/talks/asali_devan_ecclesiastes_chasms
"""Chromatic""",Greg Gage,Apr 2018,https://www.ted.com/talks/shane_griffin_chromatic
"""Circular Escape""",Lýdia Machová,Nov 2018,https://www.ted.com/talks/frank_muller_pierstorff_circular_escape
"""Criminalization of Survival""",Michael S.A. Graziano,Oct 2019,https://www.ted.com/talks/paul_rucker_criminalization_of_survival
"""Crush"" / ""Power Power""",Holly Herndon,Aug 2022,https://www.ted.com/talks/duckwrth_crush_power_power
"""Damballa Wedo"" / ""The Dilemma""",Kate Kahle,Mar 2023,https://www.ted.com/talks/melanie_charles_damballa_wedo_the_dilemma
"""Dead Romance""",Elizabeth Waters,Jul 2018,https://www.ted.com/talks/boy_girl_banjo_dead_romance
"""Distance"" / ""Sides""",Cassie Flynn,Sep 2020,https://www.ted.com/talks/emily_king_distance_sides
"""Dive In""",Martin Reeves,Feb 2022,https://www.ted.com/talks/dave_matthews_dive_in
"""Drottning Kristina""",Michael Benton,Jan 2019,https://www.ted.com/talks/renzo_vitale_drottning_kristina
"""East Virginia"" / ""John Brown's Dream""",Wajahat Ali,Mar 2019,https://www.ted.com/talks/nora_brown_east_virginia_john_brown_s_dream
"""Everything I Need"" / ""Find Your Tribe"" / ""I Am Free""",Zoya Lytvyn,Mar 2022,https://www.ted.com/talks/geminelle_everything_i_need_find_your_tribe_i_am_free
"""Everything happens for a reason"" — and other lies I've loved",Julius Maada Bio,Jun 2019,https://www.ted.com/talks/kate_bowler_everything_happens_for_a_reason_and_other_lies_i_ve_loved
"""Fearless""",Design Matters,Jan 2021,https://www.ted.com/talks/apiorkor_seyiram_ashong_abbey_fearless
"""Fight For You""",Roman Krznaric,Oct 2020,https://www.ted.com/talks/raye_zaragoza_fight_for_you
"""First Kiss""",Kay Almere Read,Apr 2019,https://www.ted.com/talks/tim_seibles_first_kiss
"""Follow the Sound""",Kelsey Johnson,Nov 2019,https://www.ted.com/talks/morley_follow_the_sound
"""For Estefani, Third Grade, Who Made Me A Card""",Alyssa Loorya,Oct 2019,https://www.ted.com/talks/aracelis_girmay_for_estefani_third_grade_who_made_me_a_card
"""Ghizlane""",Martin Lockley,May 2023,https://www.ted.com/talks/noura_mint_seymali_ghizlane
"""Giving Space""",Sergiu P. Pasca,Aug 2022,https://www.ted.com/talks/paul_rucker_giving_space
"""Go(l)d"" / ""Black Truck""",Anjali Sud and Stephanie Mehta,Dec 2022,https://www.ted.com/talks/mereba_go_l_d_black_truck
"""Good Morning Young Artist"" and ""Ms. Metronome""",Kyra Gaunt,Feb 2018,https://www.ted.com/talks/mike_sempert_good_morning_young_artist_and_ms_metronome
"""Good"" and ""bad"" are incomplete stories we tell ourselves",Inhi Cho Suh,Dec 2017,https://www.ted.com/talks/heather_lanier_good_and_bad_are_incomplete_stories_we_tell_ourselves
"""Healthcare Anthem of Merck KGaA, Darmstadt, Germany""",Glenn Cantave,Jan 2019,https://www.ted.com/talks/lars_jonsson_healthcare_anthem_of_merck_kgaa_darmstadt_germany
"""Home to Oakland"" and ""Walk Away""",Adong Judith,Feb 2018,https://www.ted.com/talks/lisa_marie_johnston_home_to_oakland_and_walk_away
"""I Hope"" / ""DAWN""",Ashley M. Grice,Mar 2022,https://www.ted.com/talks/resistance_revival_chorus_i_hope_dawn
"""Illusions for a better society""",Greg Gage,Apr 2018,https://www.ted.com/talks/aaron_duffy_lake_buckley_and_jack_foster_illusions_for_a_better_society
"""Interpassion"" / ""Ba$$in""",Luhan Yang,Aug 2018,https://www.ted.com/talks/yelle_interpassion_ba_in
"""It All Starts With One"" / ""You Light My Fire""",Graham Baird,May 2019,https://www.ted.com/talks/ane_brun_it_all_starts_with_one_you_light_my_fire
"""It's not amazing enough""",Greg Gage,Apr 2018,https://www.ted.com/talks/duncan_cowles_it_s_not_amazing_enough
"""Iyeza"" / ""Zabalaza""",Ian Firth,May 2018,https://www.ted.com/talks/thandiswa_mazwai_iyeza_zabalaza
"""Jabberwocky"": One of literature's best bits of nonsense",Ernestine Leikeki Sevidzem,Sep 2020,https://www.ted.com/talks/lewis_carroll_jabberwocky_one_of_literature_s_best_bits_of_nonsense
"""Jamie Raeburn"" / ""Baloo Baleerie"" / ""Twa recruitin Sergeants""",Paola Antonelli,Jan 2020,https://www.ted.com/talks/findlay_napier_and_gillian_frame_jamie_raeburn_baloo_baleerie_twa_recruitin_sergeants
